,players name
0,1. Sachin Tendulkar
1,2. Rahul Dravid
2,3. Sourav Ganguly
3,4. Kapil Dev
4,5. VVS Laxman
5,6. Mahendra Singh Dhoni
6,7. Sunil Gavaskar
7,8. Virat Kohli
8,9. Anil Kumble
9,10. Harbhajan Singh
10,11. Gautam Gambhir
11,12. Zaheer Khan
12,13. Mohammed Azaharuddin
13,14. Virendra Sehwag
14,15. Yuvraj Singh
15,16. Rohit Sharma
16,17. Dilip Vengasarkar
17,18.
18,Shikhar Dhawan
19,19. BS Chandrashekhar
20,20. Bishan Singh Bedi
21,21. Ravichandran Ashwin
22,22. Venkatesh Prasad
23,23. Ajit Agarkar
24,24. Jasprit Bumrah
25,25. Javagal Srinath
26,26. Ajinkya Rahane
27,27. Suresh Raina
28,28. Gundappa Vishwanath
29,29. Mansoor Ali Khan Pataudi
30,30. Krishnamachari Srikkanth
31,31. Srinivas Venkataraghavan
32,32. Ajay Jadeja
33,33. Ravindra Jadeja
34,34. C.K. Nayudu
35,35. Ajit Wadekar
36,36. Mohinder Amarnath
37,37. Syed Kirmani
38,38. Ravi Shastri
39,39. Navjot Singh Siddhu
40,40. Polly Umrigar
41,41. Hardik Pandya
42,42. Irfan Pathan
43,43. Cheteshwar Pujara
44,44. Bhuvneshwar Kumar
45,45. Mohammed Shami
46,46. Ishant Sharma
47,47. Vinoo Mankad
48,48. Erapalli Prasanna
49,49. Lala Amarnath
50,50. Amit Mishra
51,51. Sanjay Manjrekar
52,52. Vijaya Hazare
53,53. Vijay Manjrekar
54,54. Madan Lal
55,55. Nari Contractor
56,56. Vinod Kambli
57,57.
58,Ashish Nehra
59,58. Chandu Borde
60,59. Bapu Nadkarni
61,60. Rishabh Pant
62,61. Mohammad Kaif
63,62. K.L. Rahul
64,63. Yusuf Pathan
65,64. Manoj Prabhakar
66,65. Nayan Mongia
67,66. Umesh Yadav
68,67. Chetan Sharma
69,68. Ambati Rayudu
70,69. Kuldeep Yadav
71,70. Roger Binny
72,71. Dinesh Karthik
73,72. Kedar Jadhav
74,73. R.P. Singh
75,74. Praveen Kumar
76,75. Vijay Merchant
77,76. Syed Mushtaq Ali
78,77. Salim Durani
79,78. Farokh Engineer
80,79. Pankaj Roy
81,80. Shreyas Iyer
82,81. Chetan Chauhan
83,82. Kiran More
84,83. Yashpal Sharma
85,84. Wasim Jaffer
86,85. Yuzvendra Chahal
87,86. Murali Vijay
88,87. Wriddhiman Saha
89,88. Munaf Patel
90,89. Parthiv Patel
91,90. Prithvi Shaw
92,91. Kirti Azad
93,92. Sandeep Patil
94,93. Robin Utthappa 
95,94. S. Sreesanth
96,95. Manish Pandey
97,96. Pragyan Ojha
98,97. Dinesh Mongia
99,98. Murali Kartik
100,99. Lakshmipathy Balaji
101,100. Mayank Agarwal
